Seam_Name,Label,Feat_0_Mean,Feat_1_Mean,Feat_2_Mean,Feat_3_Mean,Feat_4_Mean,Feat_5_Mean,Feat_6_Mean,Feat_7_Mean,Feat_8_Mean,Feat_9_Mean,Feat_10_Mean,Feat_11_Mean,Feat_12_Mean,Feat_13_Mean,Feat_14_Mean,Feat_15_Mean,Feat_16_Mean,Feat_17_Mean
a01,2,0.123766825,0.074327424,0.28625628,-0.23377523,0.26346165,0.14635971,0.19132176,0.20901728,-0.3867871,0.5863983,0.97606313,-0.51420367,-0.9795499,-0.33897096,0.23695342,-0.20253329,1.2872957,0.859111
c02,0,-1.4821256,0.39614248,-0.9432231,-0.31421584,-1.0499376,0.74044037,-1.3496617,0.13756414,-1.8049774,-1.634827,-1.6200829,0.95696163,1.4399188,-0.49419218,-0.9352732,-0.8634268,-0.717365,-0.64579004
c01,1,-0.62744033,0.388655,-0.4234268,0.07195037,-0.41015095,0.5937654,-0.29314026,-0.19260082,-1.1316421,-0.73546624,-0.848518,-0.2257237,0.32554898,-0.79283774,-0.5574833,-0.56265074,-0.18606788,0.21698137
b01,0,-1.5992565,-0.45583183,-1.7745209,0.57568884,-1.7905334,0.11964281,-0.4503975,-0.9760868,-0.20978801,-1.2915388,-1.5594394,-0.4921178,1.0580809,-1.6499351,-1.4977616,-1.9369752,1.6738183,1.231601
b01,2,-0.41667336,0.0890366,-0.12103637,-0.08374487,-0.34099254,-0.17173366,-0.16084544,0.4838811,-0.11583481,0.48516726,0.11737486,0.8549383,0.35551316,0.757732,0.9159013,0.92532617,0.37725958,0.32857352
b01,2,0.21572836,0.114982724,0.30864942,0.048141852,0.3516453,-0.10589592,0.35764694,-0.06804629,0.63579077,0.026885921,0.5543074,-0.6758379,0.22226708,0.69900835,0.54066694,0.4586486,0.34627435,0.044811893
b01,2,0.72154987,0.4522822,0.5830853,-0.03428734,0.63726914,0.20683333,0.4442669,0.074015,-0.28025287,0.85886896,0.48690653,1.0632167,-0.90574276,0.44453946,0.59999466,0.51825655,0.3769868,0.63553864
b01,1,-0.7000304,-0.24826293,-0.32212514,-0.2156316,-0.5552104,0.34384698,-0.3762793,0.35525805,1.035092,-0.7239555,-0.48594832,-0.873093,0.9319537,-0.123121895,-0.45497409,-0.18599503,-1.3288118,-1.1683598
a01,2,0.862786,0.26883548,0.7508428,-0.64556885,0.9898508,-0.18250695,-0.043184854,0.1128489,-0.56122655,0.5905287,1.1730009,-0.6837734,-0.79820985,-0.813324,0.061624926,-0.19216082,0.58710086,0.85408705
b01,0,-1.4780508,-0.32610124,-1.7853594,0.57568884,-1.7619711,0.17213506,-0.46100178,-0.99240464,-0.23327632,-1.236456,-1.5645363,-0.35020983,1.0625178,-1.6499351,-1.4772143,-1.9478025,1.853597,1.3405191
a01,2,0.56292856,0.9912941,0.4267741,-0.14018577,0.5218886,1.051758,0.64353824,0.650834,-0.8228857,1.6893362,0.9378049,0.37094364,-1.7148275,-0.44843704,0.30160093,-0.039788656,1.0453194,0.9909717
b01,2,0.3948378,0.06309047,0.46379557,-0.14968824,0.38734826,0.037790485,0.31589955,0.32550195,-0.13932312,0.6035046,0.43761975,0.6093031,-0.9810648,0.5815612,0.36354616,0.4215735,-0.17237818,0.079688504
b01,2,0.3160717,0.32255164,0.21708862,0.7735189,0.23025516,0.80382144,1.1544173,0.004904121,-0.49164763,0.99033624,0.46339884,1.4306648,-0.90622246,0.4053904,0.226842,0.24597159,-0.15999538,0.37333685
b01,2,0.49146956,0.14092883,0.5032259,-0.24860331,0.40877008,0.27667472,0.23686996,0.23527381,-0.16281143,0.8251003,0.4674677,1.0357039,-1.0459224,0.34666687,0.21375084,0.28136486,-0.30575496,0.23991677
a01,1,-0.74001443,-0.5647705,-0.71065956,0.04699316,-0.7423078,-1.7601389,-0.9397041,-0.78193456,-0.6193731,-0.7912172,-0.97621596,0.30914864,0.70248103,1.1570656,0.1532383,0.45573503,-0.8186703,-0.97432965
a01,2,0.633828,1.1858021,0.29852012,-0.0653142,0.500935,1.1874807,0.58668816,0.41947255,-0.67751956,0.59155136,1.0010903,-0.5422982,-1.6161467,-0.33897096,0.5004548,0.2230556,1.0024089,0.98055303
a01,0,-1.4356736,0.157688,-1.6529776,0.4400689,-1.552511,0.41258508,-1.1223673,-0.9087652,3.014782,0.34793282,-2.4451506,3.3622022,2.2196248,-2.3458493,-2.9993777,-3.0311353,-1.5932813,-1.8295492
b01,2,-0.39341706,0.114982724,-0.121036366,0.1305711,-0.33385196,-0.1574985,0.0536954,0.35141855,0.0720716,0.74228543,0.14952253,1.3350422,0.3960567,0.7773065,0.8975519,0.9032527,0.37089768,0.271068
c01,2,0.2919017,0.103245795,-0.09896662,0.41573173,0.19352959,0.042577792,1.2266424,-0.40303317,0.9878443,0.32691303,0.7567377,-0.76162755,0.067844145,-0.0905035,-0.11691876,-0.11465292,-0.29338935,0.13899055
b01,2,0.77195853,0.19282103,0.60175306,0.34488708,0.57300377,0.12231191,0.93384874,0.25543112,-0.18629971,1.0336378,0.5503596,1.3437002,-0.66680133,0.36624137,0.67788446,0.6094144,0.3972198,0.80786324
c02,2,0.9384009,-0.10933459,0.7249766,0.053605102,0.8137007,-0.21483369,0.8128313,0.051334202,0.29048532,0.92257583,0.9695047,-0.31555706,-0.33659202,1.2953825,1.0716553,1.0773007,0.55269414,0.121661805
a01,2,0.24888973,1.0468677,0.15762542,-0.21505733,0.2844152,1.2327217,0.16273516,0.6801026,-0.47400683,0.8007782,1.1598072,-0.5255231,-1.5011727,-0.44843704,-0.06566821,-0.5052533,1.0704501,0.86058396
