stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,temperature,lambda_ce,lambda_kd,lambda_feat,lr,weight_decay,weighted_sampler,student_lstm_layers,student_lstm_dropout,student_classifier_hidden,student_classifier_dropout,run_dir,status,elapsed_sec,val_macro_f1,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage0,s0_l1_o0_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o0_c0,2.0,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,9.01,0.951356,0.8539,0.834072,0.9129,33,0.951356,False
stage0,s0_l1_o0_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o0_c1,2.0,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,8.25,0.967262,0.8623999999999999,0.81138,0.9551000000000001,27,0.967262,False
stage0,s0_l1_o1_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o1_c0,2.0,0.9,1.1,0.0,0.00015,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,7.12,0.951356,0.8454999999999999,0.826038,0.9101,20,0.951356,False
stage0,s0_l1_o1_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o1_c1,2.0,0.9,1.1,0.0,0.00015,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l1_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,4.52,0.967262,0.8511,0.794013,0.9438,19,0.967262,False
stage0,s0_l2_o0_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o0_c0,2.5,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,9.18,0.951356,0.8511,0.831152,0.9101,33,0.951356,False
stage0,s0_l2_o0_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o0_c1,2.5,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.46,0.96689,0.8173999999999999,0.762524,0.9045000000000001,20,0.96689,False
stage0,s0_l2_o1_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o1_c0,2.5,0.9,1.1,0.0,0.00015,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.45,0.951356,0.8399,0.820925,0.9101,20,0.951356,False
stage0,s0_l2_o1_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o1_c1,2.5,0.9,1.1,0.0,0.00015,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage0/s0_l2_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.63,0.967262,0.8567,0.801941,0.9494,19,0.967262,False
stage1,s1_l1_o0_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o0_c0,2.0,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,9.02,0.951356,0.8539,0.834072,0.9129,33,0.951356,False
stage1,s1_l1_o0_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o0_c1,2.0,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,8.14,0.967262,0.8623999999999999,0.81138,0.9551000000000001,27,0.967262,False
