stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,rnn_hidden_size,rnn_layers,rnn_dropout,rnn_bidirectional
A,11,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_uni_do0.3_ep80_lr0.0001_wd0.0001_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_uni_do0.3_ep80_lr0.0001_wd0.0001_bs64_seed183,17.85,0.8904000000000001,0.855327,45,0.985972,80,183,0.0001,0.0001,64,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 64 --rnn-layers 2 --rnn-dropout 0.3 --no-rnn-bidirectional,64,2,0.3,False
A,10,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l1_bi_do0.3_ep80_lr0.0002_wd0.0001_bs128_seed42,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l1_bi_do0.3_ep80_lr0.0002_wd0.0001_bs128_seed42,8.51,0.882,0.836209,29,0.977522,80,42,0.0002,0.0001,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0001 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --rnn-hidden-size 64 --rnn-layers 1 --rnn-dropout 0.3 --rnn-bidirectional,64,1,0.3,True
A,12,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.1_ep80_lr0.0001_wd1e-05_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.1_ep80_lr0.0001_wd1e-05_bs128_seed77,11.55,0.8792,0.831558,52,0.988625,80,77,0.0001,1e-05,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 1e-05 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.1 --rnn-bidirectional,96,1,0.1,True
A,1,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.2_ep80_lr0.0001_wd0.0002_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.2_ep80_lr0.0001_wd0.0002_bs128_seed183,13.37,0.8792,0.829906,69,0.952127,80,183,0.0001,0.0002,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.2 --rnn-bidirectional,96,1,0.2,True
A,3,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l1_bi_do0.3_ep80_lr0.0001_wd0.0001_bs64_seed42,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l1_bi_do0.3_ep80_lr0.0001_wd0.0001_bs64_seed42,12.56,0.8736,0.820405,24,0.977522,80,42,0.0001,0.0001,64,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0001 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 64 --rnn-layers 1 --rnn-dropout 0.3 --rnn-bidirectional,64,1,0.3,True
A,2,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_uni_do0.1_ep80_lr0.0002_wd0.0001_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_uni_do0.1_ep80_lr0.0002_wd0.0001_bs128_seed122,8.88,0.8708,0.819094,32,0.986227,80,122,0.0002,0.0001,128,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0001 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.1 --no-rnn-bidirectional,96,1,0.1,False
A,6,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.1_ep80_lr0.0002_wd0.0001_bs64_seed122,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.1_ep80_lr0.0002_wd0.0001_bs64_seed122,10.5,0.8427,0.784436,16,1.0,80,122,0.0002,0.0001,64,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0001 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.1 --rnn-bidirectional,96,1,0.1,True
A,5,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_uni_do0.2_ep80_lr0.0003_wd0.0001_bs64_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_uni_do0.2_ep80_lr0.0003_wd0.0001_bs64_seed77,9.95,0.8118000000000001,0.733112,13,1.0,80,77,0.0003,0.0001,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.2 --no-rnn-bidirectional,128,2,0.2,False
A,9,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.3_ep80_lr0.0003_wd0.0005_bs64_seed42,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.3_ep80_lr0.0003_wd0.0005_bs64_seed42,11.0,0.7978000000000001,0.72185,14,1.0,80,42,0.0003,0.0005,64,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0005 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 96 --rnn-layers 2 --rnn-dropout 0.3 --rnn-bidirectional,96,2,0.3,True
A,4,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l3_uni_do0.2_ep80_lr0.0005_wd1e-05_bs64_seed14,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l3_uni_do0.2_ep80_lr0.0005_wd1e-05_bs64_seed14,10.27,0.7920999999999999,0.725472,12,0.994277,80,14,0.0005,1e-05,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0005 --weight-decay 1e-05 --seed 14 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 128 --rnn-layers 3 --rnn-dropout 0.2 --no-rnn-bidirectional,128,3,0.2,False
