stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,rnn_hidden_size,rnn_layers,rnn_dropout,rnn_bidirectional
A,1,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.1_ep80_lr0.0002_wd0.0005_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.1_ep80_lr0.0002_wd0.0005_bs128_seed100,8.68,0.8258,0.763225,22,1.0,80,100,0.0002,0.0005,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0005 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.1 --rnn-bidirectional,128,2,0.1,True
A,2,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.1_ep80_lr0.0002_wd1e-05_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.1_ep80_lr0.0002_wd1e-05_bs128_seed77,9.07,0.8427,0.785945,27,1.0,80,77,0.0002,1e-05,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 1e-05 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --rnn-hidden-size 96 --rnn-layers 2 --rnn-dropout 0.1 --rnn-bidirectional,96,2,0.1,True
A,3,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.2_ep80_lr0.0001_wd0.0002_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.2_ep80_lr0.0001_wd0.0002_bs128_seed77,9.03,0.8848,0.840824,33,0.994277,80,77,0.0001,0.0002,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0002 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.2 --rnn-bidirectional,128,2,0.2,True
A,4,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_uni_do0.2_ep80_lr0.0005_wd0.0001_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_uni_do0.2_ep80_lr0.0005_wd0.0001_bs128_seed100,8.08,0.8118000000000001,0.748486,24,1.0,80,100,0.0005,0.0001,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0001 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --rnn-hidden-size 64 --rnn-layers 2 --rnn-dropout 0.2 --no-rnn-bidirectional,64,2,0.2,False
A,5,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.1_ep80_lr0.0001_wd0.0005_bs64_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.1_ep80_lr0.0001_wd0.0005_bs64_seed77,14.46,0.8792,0.838829,28,1.0,80,77,0.0001,0.0005,64,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0005 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 64 --rnn-layers 2 --rnn-dropout 0.1 --rnn-bidirectional,64,2,0.1,True
A,6,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd0.0005_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd0.0005_bs64_seed183,17.29,0.8511,0.792336,38,0.994277,80,183,0.0001,0.0005,64,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0005 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 64 --rnn-layers 2 --rnn-dropout 0.3 --rnn-bidirectional,64,2,0.3,True
A,7,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.3_ep80_lr0.0005_wd0.0001_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.3_ep80_lr0.0005_wd0.0001_bs64_seed183,9.54,0.7669,0.673627,7,1.0,80,183,0.0005,0.0001,64,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0005 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 64 --rnn-layers 3 --rnn-dropout 0.3 --rnn-bidirectional,64,3,0.3,True
A,8,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.2_ep80_lr0.0002_wd0.0002_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.2_ep80_lr0.0002_wd0.0002_bs64_seed100,11.32,0.8736,0.837732,14,1.0,80,100,0.0002,0.0002,64,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0002 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 64 --rnn-layers 3 --rnn-dropout 0.2 --rnn-bidirectional,64,3,0.2,True
A,9,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l3_bi_do0.3_ep80_lr0.0003_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l3_bi_do0.3_ep80_lr0.0003_wd0.0001_bs128_seed77,7.98,0.7753,0.682116,17,1.0,80,77,0.0003,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0003 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 96 --rnn-layers 3 --rnn-dropout 0.3 --rnn-bidirectional,96,3,0.3,True
A,10,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.3_ep80_lr0.0002_wd0.0001_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.3_ep80_lr0.0002_wd0.0001_bs128_seed183,7.58,0.8399,0.777996,26,1.0,80,183,0.0002,0.0001,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 96 --rnn-layers 2 --rnn-dropout 0.3 --rnn-bidirectional,96,2,0.3,True
