stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,inception_out_ch,inception_blocks,inception_bottleneck,inception_dropout
seed_eval,19,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.2_ep80_lr0.0001_wd0.0005_bs128_seed14,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.2_ep80_lr0.0001_wd0.0005_bs128_seed14,4.69,0.9017000000000001,0.87318,16,0.956033,80,14,0.0001,0.0005,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0005 --seed 14 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.2,24,3,32,0.2
seed_eval,11,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed122,8.33,0.8933,0.837064,30,0.986227,80,122,0.0001,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 24 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.2,24,9,32,0.2
A,10,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.2_ep80_lr0.0002_wd0.0001_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.2_ep80_lr0.0002_wd0.0001_bs64_seed100,6.8,0.8736,0.832407,24,0.994277,80,100,0.0002,0.0001,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0001 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.2,16,3,16,0.2
seed_eval,4,skipped_existing,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.2_ep80_lr0.0002_wd0.0001_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.2_ep80_lr0.0002_wd0.0001_bs64_seed100,0.0,0.8736,0.832407,24,0.994277,80,100,0.0002,0.0001,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0001 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.2,16,3,16,0.2
A,32,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed77,8.14,0.868,0.826526,38,1.0,80,77,0.0001,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 24 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.2,24,9,32,0.2
seed_eval,9,skipped_existing,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed77,0.0,0.868,0.826526,38,1.0,80,77,0.0001,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 24 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.2,24,9,32,0.2
A,31,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn32_do0.1_ep80_lr0.0001_wd0.0005_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn32_do0.1_ep80_lr0.0001_wd0.0005_bs128_seed122,5.31,0.868,0.820666,30,0.994277,80,122,0.0001,0.0005,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0005 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.1,16,3,32,0.1
seed_eval,17,skipped_existing,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn32_do0.1_ep80_lr0.0001_wd0.0005_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn32_do0.1_ep80_lr0.0001_wd0.0005_bs128_seed122,0.0,0.868,0.820666,30,0.994277,80,122,0.0001,0.0005,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0005 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.1,16,3,32,0.1
B,1,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.2_ep80_lr0.0001_wd0.0005_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.2_ep80_lr0.0001_wd0.0005_bs128_seed183,6.04,0.8623999999999999,0.815639,51,0.994083,80,183,0.0001,0.0005,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0005 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.2,24,3,32,0.2
seed_eval,24,skipped_existing,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.2_ep80_lr0.0001_wd0.0005_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.2_ep80_lr0.0001_wd0.0005_bs128_seed183,0.0,0.8623999999999999,0.815639,51,0.994083,80,183,0.0001,0.0005,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0005 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.2,24,3,32,0.2
