stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,temperature,lambda_ce,lambda_kd,lambda_feat,lr,weight_decay,weighted_sampler,student_lstm_layers,student_lstm_dropout,student_classifier_hidden,student_classifier_dropout,run_dir,status,elapsed_sec,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage0,s0_l1_o0_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o0_c0,2.0,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,5.05,0.8623999999999999,0.860359,0.8708,25,0.86236,False
stage0,s0_l1_o0_c1,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o0_c1,2.0,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,6.13,0.8848,0.835916,0.9606999999999999,52,0.884831,False
stage0,s0_l1_o1_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o1_c0,2.0,0.9,1.1,0.0,0.00015,1e-05,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,4.5,0.8848,0.860582,0.9381999999999999,24,0.884831,False
stage0,s0_l1_o1_c1,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o1_c1,2.0,0.9,1.1,0.0,0.00015,1e-05,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l1_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,5.95,0.8933,0.848265,0.9691,52,0.893258,False
stage0,s0_l2_o0_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o0_c0,2.5,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,5.39,0.8764,0.843717,0.941,49,0.876404,False
stage0,s0_l2_o0_c1,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o0_c1,2.5,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,5.93,0.8904000000000001,0.845281,0.9662999999999999,52,0.890449,False
stage0,s0_l2_o1_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o1_c0,2.5,0.9,1.1,0.0,0.00015,1e-05,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,4.76,0.8961,0.858748,0.9606999999999999,45,0.896067,False
stage0,s0_l2_o1_c1,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o1_c1,2.5,0.9,1.1,0.0,0.00015,1e-05,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage0/s0_l2_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,5.92,0.8933,0.848265,0.9691,52,0.893258,False
stage1,s1_l1_o0_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage1/s1_l1_o0_c0,2.0,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage1/s1_l1_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,4.43,0.8623999999999999,0.860359,0.8708,25,0.86236,False
stage1,s1_l1_o0_c1,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage1/s1_l1_o0_c1,2.0,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage1/s1_l1_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,6.14,0.8848,0.835916,0.9606999999999999,52,0.884831,False
