stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,freeze_teacher_epochs,temperature,lambda_ce,lambda_kd,lambda_feat,lr_teacher,lr_student,weight_decay,student_tcn_layers,student_tcn_dropout,student_classifier_hidden,student_classifier_dropout,student_attn_dropout,student_attn_ff_dim,student_tcn_dilation_base,run_dir,status,elapsed_sec,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage0,s0_l4_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4_c0,5,2.5,0.9,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4_c0,failed_rc_1,1.65,-1.0,-1.0,-1.0,-1,-1.0,False
stage0,s0_l4_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4_c7,5,2.5,0.9,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4_c7,failed_rc_1,1.67,-1.0,-1.0,-1.0,-1,-1.0,False
stage0,s0_l4p_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4p_c0,5,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4p_c0,failed_rc_1,1.69,-1.0,-1.0,-1.0,-1,-1.0,False
stage0,s0_l4p_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4p_c7,5,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l4p_c7,failed_rc_1,1.61,-1.0,-1.0,-1.0,-1,-1.0,False
stage0,s0_l3_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l3_c0,5,3.0,0.8,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l3_c0,failed_rc_1,1.58,-1.0,-1.0,-1.0,-1,-1.0,False
stage0,s0_l3_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l3_c7,5,3.0,0.8,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage0/s0_l3_c7,failed_rc_1,1.6,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4_o1_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o1_c0,0,2.5,0.9,1.1,0.0,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o1_c0,failed_rc_1,1.67,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4_o1_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o1_c7,0,2.5,0.9,1.1,0.0,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o1_c7,failed_rc_1,1.58,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4_o2_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o2_c0,0,2.5,0.9,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o2_c0,failed_rc_1,1.61,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4_o2_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o2_c7,0,2.5,0.9,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o2_c7,failed_rc_1,1.66,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4_o3_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o3_c0,0,2.5,0.9,1.1,0.0,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o3_c0,failed_rc_1,1.57,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4_o3_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o3_c7,0,2.5,0.9,1.1,0.0,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4_o3_c7,failed_rc_1,1.6,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4p_o1_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o1_c0,0,2.0,0.9,1.2,0.1,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o1_c0,failed_rc_1,1.75,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4p_o1_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o1_c7,0,2.0,0.9,1.2,0.1,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o1_c7,failed_rc_1,1.58,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4p_o2_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o2_c0,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o2_c0,failed_rc_1,1.57,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4p_o2_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o2_c7,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o2_c7,failed_rc_1,1.56,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4p_o3_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o3_c0,0,2.0,0.9,1.2,0.1,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o3_c0,failed_rc_1,1.6,-1.0,-1.0,-1.0,-1,-1.0,False
stage1,s1_l4p_o3_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o3_c7,0,2.0,0.9,1.2,0.1,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013/stage1/s1_l4p_o3_c7,failed_rc_1,1.62,-1.0,-1.0,-1.0,-1,-1.0,False
