group,run_name,run_dir,seed,test_acc,test_macro_f1,test_teacher_agreement,dataset_npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed154,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0001_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed154,154,0.9213,0.902456,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs96_seed152,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0002_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs96_seed152,152,0.8848,0.850471,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_seed136,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0003_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_seed136,136,0.8792,0.838587,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed156,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0004_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed156,156,0.9831,0.977795,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed105,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0005_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed105,105,0.9213,0.891846,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed108,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0006_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed108,108,0.8371,0.792489,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed113,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0007_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed113,113,0.9803000000000001,0.973757,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed133,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0008_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed133,133,0.8511,0.811401,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed107,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0009_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed107,107,0.8708,0.830423,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed146,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0010_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed146,146,0.9157,0.900109,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
