run_name,lambda_kd,lambda_feat,val_teacher_agreement,test_teacher_agreement,test_accuracy,elapsed_sec
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.3_lf0.0_seed42,0.3,0.0,0.8814,0.8098000000000001,0.7962,7.24
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.3_lf0.1_seed42,0.3,0.1,0.887,0.7908,0.7772,8.8
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.3_lf0.2_seed42,0.3,0.2,0.887,0.8315,0.8179000000000001,7.35
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.3_lf0.3_seed42,0.3,0.3,0.887,0.8478,0.8342,7.33
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.5_lf0.0_seed42,0.5,0.0,0.887,0.8207,0.8070999999999999,7.93
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.5_lf0.1_seed42,0.5,0.1,0.8926999999999999,0.8397,0.8261,7.71
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.5_lf0.2_seed42,0.5,0.2,0.8926999999999999,0.8478,0.8342,7.57
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.5_lf0.3_seed42,0.5,0.3,0.8983,0.8179000000000001,0.8043,8.38
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.7_lf0.0_seed42,0.7,0.0,0.8926999999999999,0.8315,0.8179000000000001,8.0
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.7_lf0.1_seed42,0.7,0.1,0.8983,0.8533,0.8397,7.63
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.7_lf0.2_seed42,0.7,0.2,0.8983,0.856,0.8423999999999999,7.66
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd0.7_lf0.3_seed42,0.7,0.3,0.8926999999999999,0.8587,0.8451000000000001,7.68
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd1.0_lf0.0_seed42,1.0,0.0,0.8983,0.8668,0.8587,7.87
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd1.0_lf0.1_seed42,1.0,0.1,0.904,0.8315,0.8179000000000001,8.11
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd1.0_lf0.2_seed42,1.0,0.2,0.8983,0.8695999999999999,0.856,7.58
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep60_lr0.0002_bs128_T2.0_lce1.0_lkd1.0_lf0.3_seed42,1.0,0.3,0.8983,0.8315,0.8179000000000001,8.04
