panel,method,class_name,metric,value_pct
A,Teacher,,accuracy,98.31
A,Teacher,,macro_f1,97.9252
A,Student,,accuracy,98.03
A,Student,,macro_f1,97.3757
A,GRU,,accuracy,91.57
A,GRU,,macro_f1,88.7156
A,LSTM,,accuracy,90.73
A,LSTM,,macro_f1,87.53410000000001
A,Inception,,accuracy,90.16999999999999
A,Inception,,macro_f1,87.318
A,Transformer,,accuracy,88.75999999999999
A,Transformer,,macro_f1,86.2035
B,Teacher,S0,f1,98.04
B,Teacher,S1,f1,96.50999999999999
B,Teacher,S2,f1,99.22
C,Teacher,S0,f1,98.04
C,Teacher,S1,f1,96.50999999999999
C,Teacher,S2,f1,99.22
B,Student,S0,f1,96.69
B,Student,S1,f1,95.95
B,Student,S2,f1,99.48
C,Student,S0,f1,96.69
C,Student,S1,f1,95.95
C,Student,S2,f1,99.48
B,GRU,S0,f1,86.13
B,GRU,S1,f1,82.76
B,GRU,S2,f1,97.26
C,GRU,S0,f1,86.13
C,GRU,S1,f1,82.76
C,GRU,S2,f1,97.26
B,LSTM,S0,f1,84.44
B,LSTM,S1,f1,81.14
B,LSTM,S2,f1,97.00999999999999
C,LSTM,S0,f1,84.44
C,LSTM,S1,f1,81.14
C,LSTM,S2,f1,97.00999999999999
B,Inception,S0,f1,84.44
B,Inception,S1,f1,81.08
B,Inception,S2,f1,96.43
C,Inception,S0,f1,84.44
C,Inception,S1,f1,81.08
C,Inception,S2,f1,96.43
B,Transformer,S0,f1,93.15
B,Transformer,S1,f1,72.6
B,Transformer,S2,f1,92.86
C,Transformer,S0,f1,93.15
C,Transformer,S1,f1,72.6
C,Transformer,S2,f1,92.86
D,Teacher,S1,precision,93.26
D,Student,S1,precision,92.22
D,GRU,S1,precision,79.12
D,LSTM,S1,precision,77.17
D,Inception,S1,precision,73.53
D,Transformer,S1,precision,84.13000000000001
D,Teacher,S1,recall,100.0
D,Student,S1,recall,100.0
D,GRU,S1,recall,86.75
D,LSTM,S1,recall,85.54
D,Inception,S1,recall,90.36
D,Transformer,S1,recall,63.85999999999999
