method,class_id,class_name,precision,recall,f1,support,prediction_macro_f1
Teacher-18D,0,S0,1.0,0.9615384615384616,0.9803921568627451,78,0.9792521659826722
Teacher-18D,1,S1,0.9325842696629213,1.0,0.9651162790697675,83,0.9792521659826722
Teacher-18D,2,S2,1.0,0.9846153846153847,0.9922480620155039,195,0.9792521659826722
SEAL-Weld Student-13D,0,S0,1.0,0.9615384615384616,0.9803921568627451,78,0.9846750294320626
SEAL-Weld Student-13D,1,S1,0.9647058823529412,0.9879518072289156,0.9761904761904762,83,0.9846750294320626
SEAL-Weld Student-13D,2,S2,0.9948979591836735,1.0,0.9974424552429668,195,0.9846750294320626
LSTM,0,S0,1.0,0.7307692307692307,0.8444444444444443,78,0.8753407565347863
LSTM,1,S1,0.7717391304347826,0.8554216867469879,0.8114285714285713,83,0.8753407565347863
LSTM,2,S2,0.9420289855072463,1.0,0.9701492537313433,195,0.8753407565347863
GRU,0,S0,1.0,0.7564102564102564,0.8613138686131386,78,0.8871562180211021
GRU,1,S1,0.7912087912087912,0.8674698795180723,0.8275862068965518,83,0.8871562180211021
GRU,2,S2,0.9466019417475728,1.0,0.972568578553616,195,0.8871562180211021
Transformer,0,S0,1.0,0.8717948717948718,0.9315068493150686,78,0.8620352250489237
Transformer,1,S1,0.8412698412698413,0.6385542168674698,0.7260273972602739,83,0.8620352250489237
Transformer,2,S2,0.8666666666666667,1.0,0.9285714285714286,195,0.8620352250489237
Inception,0,S0,1.0,0.7307692307692307,0.8444444444444443,78,0.8731803231803231
Inception,1,S1,0.7352941176470589,0.9036144578313253,0.8108108108108109,83,0.8731803231803231
Inception,2,S2,0.9593908629441624,0.9692307692307692,0.9642857142857143,195,0.8731803231803231
Student-only-13D,0,S0,0.9625,0.9871794871794872,0.9746835443037976,78,0.9777947756050956
Student-only-13D,1,S1,0.963855421686747,0.963855421686747,0.963855421686747,83,0.9777947756050956
Student-only-13D,2,S2,1.0,0.9897435897435898,0.9948453608247423,195,0.9777947756050956
