method,true_class,pred_class,count,row_normalized
Teacher-18D,S0,S0,75,0.9615384615384616
Teacher-18D,S0,S1,3,0.038461538461538464
Teacher-18D,S0,S2,0,0.0
Teacher-18D,S1,S0,0,0.0
Teacher-18D,S1,S1,83,1.0
Teacher-18D,S1,S2,0,0.0
Teacher-18D,S2,S0,0,0.0
Teacher-18D,S2,S1,3,0.015384615384615385
Teacher-18D,S2,S2,192,0.9846153846153847
SEAL-Weld Student-13D,S0,S0,75,0.9615384615384616
SEAL-Weld Student-13D,S0,S1,3,0.038461538461538464
SEAL-Weld Student-13D,S0,S2,0,0.0
SEAL-Weld Student-13D,S1,S0,0,0.0
SEAL-Weld Student-13D,S1,S1,82,0.9879518072289156
SEAL-Weld Student-13D,S1,S2,1,0.012048192771084338
SEAL-Weld Student-13D,S2,S0,0,0.0
SEAL-Weld Student-13D,S2,S1,0,0.0
SEAL-Weld Student-13D,S2,S2,195,1.0
Student-only-13D,S0,S0,77,0.9871794871794872
Student-only-13D,S0,S1,1,0.01282051282051282
Student-only-13D,S0,S2,0,0.0
Student-only-13D,S1,S0,3,0.03614457831325301
Student-only-13D,S1,S1,80,0.963855421686747
Student-only-13D,S1,S2,0,0.0
Student-only-13D,S2,S0,0,0.0
Student-only-13D,S2,S1,2,0.010256410256410256
Student-only-13D,S2,S2,193,0.9897435897435898
