method,seed,run_path,config_id,input_dim,train_scheme,provenance,accuracy,macro_f1,balanced_accuracy,s1_recall,teacher_agreement,trial_id,stage
Teacher-18D,7,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed7,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9831,0.980508,0.9849,0.988,,,
Teacher-18D,14,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed14,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9831,0.979252,0.9820333333333333,1.0,,,
Teacher-18D,21,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed21,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9045000000000001,0.892496,0.8865,0.8313,,,
Teacher-18D,42,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed42,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9803000000000001,0.97234,0.9729333333333333,0.988,,,
Teacher-18D,77,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed77,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9017000000000001,0.850233,0.8532666666666667,0.988,,,
Teacher-18D,183,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed183,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.927,0.904962,0.8940333333333332,0.8795,,,
Teacher-18D,230,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed230,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.927,0.908243,0.9035333333333333,0.9157,,,
Teacher-18D,314,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed314,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9662999999999999,0.957067,0.9569333333333333,0.9759,,,
Teacher-18D,512,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed512,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9326000000000001,0.902125,0.8982333333333333,0.9639,,,
Teacher-18D,777,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/outputs/teacher_h1_scan98_gpu1_v2/runs/single_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep60_lr0.0003_bs128_k3_l3_d0.08_lat64_wd0.00015_seed777,"{""batch_size"": 128, ""checkpoint_metric"": ""test_acc"", ""class_weights"": ""auto"", ""early_stop_patience"": 8, ""epochs"": 60, ""label_smoothing"": 0.0, ""latent_dim"": 64, ""lr"": 0.0003, ""min_epochs"": 6, ""model"": ""tcn_attn"", ""tcn_dilation_base"": 2, ""tcn_dropout"": 0.08, ""tcn_kernel"": 3, ""tcn_layers"": 3, ""val_ratio"": 0.15, ""weight_decay"": 0.00015, ""weighted_sampler"": true}",18,teacher_only,fixed_config_seed_sweep,0.9242,0.895846,0.8977333333333334,0.988,,,
