model_name,method_slug,sample_index,seam_name,boundary_type,boundary_distance_bin,start_idx,target_idx,input_step,relative_step,relative_time_s,attention_weight,y_true,y_pred,correct
Teacher,teacher,9,c02,0->1,Near,84,89,0,-5,-0.05,0.1959882527589798,0,0,True
Teacher,teacher,9,c02,0->1,Near,84,89,1,-4,-0.04,0.2113056480884552,0,0,True
Teacher,teacher,9,c02,0->1,Near,84,89,2,-3,-0.03,0.20931962132453918,0,0,True
Teacher,teacher,9,c02,0->1,Near,84,89,3,-2,-0.02,0.19682137668132782,0,0,True
Teacher,teacher,9,c02,0->1,Near,84,89,4,-1,-0.01,0.18656513094902039,0,0,True
Teacher,teacher,42,a01,0->1,Near,103,108,0,-5,-0.05,0.21124416589736938,0,0,True
Teacher,teacher,42,a01,0->1,Near,103,108,1,-4,-0.04,0.195094496011734,0,0,True
Teacher,teacher,42,a01,0->1,Near,103,108,2,-3,-0.03,0.2010924071073532,0,0,True
Teacher,teacher,42,a01,0->1,Near,103,108,3,-2,-0.02,0.19223445653915405,0,0,True
Teacher,teacher,42,a01,0->1,Near,103,108,4,-1,-0.01,0.2003343552350998,0,0,True
Teacher,teacher,120,b01,0->1,Near,143,148,0,-5,-0.05,0.2017158716917038,0,0,True
Teacher,teacher,120,b01,0->1,Near,143,148,1,-4,-0.04,0.1917515993118286,0,0,True
Teacher,teacher,120,b01,0->1,Near,143,148,2,-3,-0.03,0.20982426404953003,0,0,True
Teacher,teacher,120,b01,0->1,Near,143,148,3,-2,-0.02,0.20071732997894287,0,0,True
Teacher,teacher,120,b01,0->1,Near,143,148,4,-1,-0.01,0.19599086046218872,0,0,True
Teacher,teacher,249,c01,0->1,Near,28,33,0,-5,-0.05,0.19906283915042877,0,1,False
Teacher,teacher,249,c01,0->1,Near,28,33,1,-4,-0.04,0.19952502846717834,0,1,False
Teacher,teacher,249,c01,0->1,Near,28,33,2,-3,-0.03,0.18239697813987732,0,1,False
Teacher,teacher,249,c01,0->1,Near,28,33,3,-2,-0.02,0.2121593952178955,0,1,False
Teacher,teacher,249,c01,0->1,Near,28,33,4,-1,-0.01,0.20685574412345886,0,1,False
Teacher,teacher,114,b01,0->1,Near,142,147,0,-5,-0.05,0.20377217233181,0,0,True
Teacher,teacher,114,b01,0->1,Near,142,147,1,-4,-0.04,0.20276640355587006,0,0,True
Teacher,teacher,114,b01,0->1,Near,142,147,2,-3,-0.03,0.19930315017700195,0,0,True
Teacher,teacher,114,b01,0->1,Near,142,147,3,-2,-0.02,0.20020975172519684,0,0,True
Teacher,teacher,114,b01,0->1,Near,142,147,4,-1,-0.01,0.19394852221012115,0,0,True
Teacher,teacher,189,c01,0->1,Near,27,32,0,-5,-0.05,0.2024824321269989,0,1,False
Teacher,teacher,189,c01,0->1,Near,27,32,1,-4,-0.04,0.19914375245571136,0,1,False
Teacher,teacher,189,c01,0->1,Near,27,32,2,-3,-0.03,0.19705745577812195,0,1,False
Teacher,teacher,189,c01,0->1,Near,27,32,3,-2,-0.02,0.18314555287361145,0,1,False
Teacher,teacher,189,c01,0->1,Near,27,32,4,-1,-0.01,0.21817082166671753,0,1,False
Teacher,teacher,247,a01,0->1,Near,102,107,0,-5,-0.05,0.20547452569007874,0,0,True
Teacher,teacher,247,a01,0->1,Near,102,107,1,-4,-0.04,0.20787382125854492,0,0,True
Teacher,teacher,247,a01,0->1,Near,102,107,2,-3,-0.03,0.1975633203983307,0,0,True
Teacher,teacher,247,a01,0->1,Near,102,107,3,-2,-0.02,0.19655326008796692,0,0,True
