sample_index,seam_id,seam_name,start_idx,target_idx,y_true,boundary_type,nearest_transition_idx,nearest_boundary_distance,boundary_distance_bin,teacher_pred,teacher_correct,student_only_pred,student_only_correct,seal_weld_student_pred,seal_weld_student_correct,display_mode
9,3,c02,84,89,0,0->1,90,1,Near,0,True,1,False,1,False,sample_heatmap
42,0,a01,103,108,0,0->1,109,1,Near,0,True,0,True,0,True,sample_heatmap
120,1,b01,143,148,0,0->1,149,1,Near,0,True,1,False,1,False,sample_heatmap
249,2,c01,28,33,0,0->1,34,1,Near,1,False,1,False,0,True,sample_heatmap
114,1,b01,142,147,0,0->1,149,2,Near,0,True,1,False,0,True,sample_heatmap
189,2,c01,27,32,0,0->1,34,2,Near,1,False,1,False,0,True,sample_heatmap
247,0,a01,102,107,0,0->1,109,2,Near,0,True,0,True,0,True,sample_heatmap
286,3,c02,83,88,0,0->1,90,2,Near,0,True,1,False,0,True,sample_heatmap
121,0,a01,101,106,0,0->1,109,3,Near,0,True,0,True,0,True,sample_heatmap
132,3,c02,82,87,0,0->1,90,3,Near,0,True,1,False,1,False,sample_heatmap
343,1,b01,141,146,0,0->1,149,3,Near,0,True,1,False,0,True,sample_heatmap
151,1,b01,140,145,0,0->1,149,4,Near,0,True,1,False,0,True,sample_heatmap
215,2,c01,25,30,0,0->1,34,4,Near,0,True,0,True,0,True,sample_heatmap
346,0,a01,100,105,0,0->1,109,4,Near,0,True,0,True,0,True,sample_heatmap
17,0,a01,99,104,0,0->1,109,5,Near,0,True,0,True,0,True,sample_heatmap
270,1,b01,139,144,0,0->1,149,5,Near,0,True,1,False,0,True,sample_heatmap
53,3,c02,107,112,1,1->2,113,1,Near,1,True,2,False,1,True,sample_heatmap
131,2,c01,149,154,1,1->2,155,1,Near,1,True,2,False,1,True,sample_heatmap
263,0,a01,220,225,1,1->2,226,1,Near,1,True,1,True,1,True,sample_heatmap
268,1,b01,286,291,1,1->2,292,1,Near,1,True,1,True,1,True,sample_heatmap
21,1,b01,285,290,1,1->2,292,2,Near,1,True,1,True,1,True,sample_heatmap
63,0,a01,219,224,1,1->2,226,2,Near,1,True,1,True,1,True,sample_heatmap
122,2,c01,148,153,1,1->2,155,2,Near,1,True,2,False,1,True,sample_heatmap
148,0,a01,218,223,1,1->2,226,3,Near,1,True,1,True,1,True,sample_heatmap
282,1,b01,284,289,1,1->2,292,3,Near,1,True,2,False,1,True,sample_heatmap
289,2,c01,147,152,1,1->2,155,3,Near,1,True,1,True,1,True,sample_heatmap
127,1,b01,283,288,1,1->2,292,4,Near,1,True,2,False,1,True,sample_heatmap
236,0,a01,217,222,1,1->2,226,4,Near,1,True,1,True,1,True,sample_heatmap
273,2,c01,146,151,1,1->2,155,4,Near,1,True,2,False,1,True,sample_heatmap
79,1,b01,282,287,1,1->2,292,5,Near,1,True,2,False,1,True,sample_heatmap
169,0,a01,216,221,1,1->2,226,5,Near,1,True,1,True,1,True,sample_heatmap
350,2,c01,145,150,1,1->2,155,5,Near,1,True,2,False,1,True,sample_heatmap
