model_name,sample_index,x_2d,y_2d,y_true,y_pred,correct,seam_name,start_idx,target_idx,projection_method,projection_space,projection_random_state
Teacher,0,8.336175918579102,-2.216601848602295,2,2,True,c02,208,213,umap,strict_raw_latent,42
Teacher,1,6.063953399658203,-7.393042087554932,2,2,True,a01,496,501,umap,strict_raw_latent,42
Teacher,2,8.677462577819824,-2.571894884109497,2,2,True,b01,558,563,umap,strict_raw_latent,42
Teacher,3,11.447155952453613,15.688340187072754,1,1,True,c01,127,132,umap,strict_raw_latent,42
Teacher,4,5.944022178649902,-8.252951622009277,2,2,True,a01,521,526,umap,strict_raw_latent,42
Teacher,5,8.402091979980469,-2.2335736751556396,2,2,True,c02,210,215,umap,strict_raw_latent,42
Teacher,6,9.581049919128418,18.334877014160156,0,0,True,c02,69,74,umap,strict_raw_latent,42
Teacher,7,6.126575469970703,-7.723423957824707,2,2,True,a01,504,509,umap,strict_raw_latent,42
Teacher,8,6.995280742645264,-2.5671088695526123,2,2,True,b01,598,603,umap,strict_raw_latent,42
Teacher,9,9.946660995483398,17.915220260620117,0,0,True,c02,84,89,umap,strict_raw_latent,42
Teacher,10,4.7770867347717285,-8.028892517089844,2,2,True,a01,555,560,umap,strict_raw_latent,42
Teacher,11,8.344803810119629,-2.7087817192077637,2,2,True,b01,553,558,umap,strict_raw_latent,42
Teacher,12,7.969691753387451,-1.4602693319320679,2,2,True,c02,231,236,umap,strict_raw_latent,42
Teacher,13,6.036562442779541,-7.4603986740112305,2,2,True,a01,500,505,umap,strict_raw_latent,42
Teacher,14,11.005781173706055,15.28848934173584,1,1,True,c01,144,149,umap,strict_raw_latent,42
Teacher,15,7.13279914855957,-2.6767287254333496,2,2,True,b01,582,587,umap,strict_raw_latent,42
Teacher,16,8.642093658447266,-2.599282741546631,2,2,True,b01,541,546,umap,strict_raw_latent,42
Teacher,17,8.98128604888916,19.81456756591797,0,0,True,a01,99,104,umap,strict_raw_latent,42
Teacher,18,8.96889591217041,19.987075805664062,0,0,True,a01,95,100,umap,strict_raw_latent,42
Teacher,19,13.148233413696289,16.02934455871582,1,1,True,b01,263,268,umap,strict_raw_latent,42
Teacher,20,8.664999008178711,-2.5615270137786865,2,2,True,b01,538,543,umap,strict_raw_latent,42
Teacher,21,13.418919563293457,16.3208065032959,1,1,True,b01,285,290,umap,strict_raw_latent,42
Teacher,22,6.350566864013672,-7.15494441986084,2,2,True,a01,486,491,umap,strict_raw_latent,42
Teacher,23,8.055912971496582,-1.6286873817443848,2,2,True,c01,206,211,umap,strict_raw_latent,42
Teacher,24,-9.109469413757324,-2.1523709297180176,1,1,True,a01,201,206,umap,strict_raw_latent,42
Teacher,25,8.724401473999023,-2.551076650619507,2,2,True,b01,542,547,umap,strict_raw_latent,42
Teacher,26,9.6010103225708,19.0032958984375,0,0,True,b01,119,124,umap,strict_raw_latent,42
Teacher,27,7.179684162139893,-2.708561897277832,2,2,True,b01,579,584,umap,strict_raw_latent,42
Teacher,28,6.96457576751709,-2.509735345840454,2,2,True,b01,606,611,umap,strict_raw_latent,42
Teacher,29,-9.071002006530762,-2.1138885021209717,1,1,True,a01,200,205,umap,strict_raw_latent,42
Teacher,30,8.340567588806152,-2.213050127029419,2,2,True,c02,207,212,umap,strict_raw_latent,42
Teacher,31,6.667629241943359,-1.7411139011383057,2,2,True,b01,593,598,umap,strict_raw_latent,42
Teacher,32,-8.960675239562988,-2.0035173892974854,1,1,True,a01,211,216,umap,strict_raw_latent,42
Teacher,33,6.24468469619751,-7.57547664642334,2,2,True,a01,483,488,umap,strict_raw_latent,42
Teacher,34,9.297127723693848,18.712493896484375,0,0,True,b01,113,118,umap,strict_raw_latent,42
Teacher,35,8.588855743408203,-2.6638143062591553,2,2,True,b01,552,557,umap,strict_raw_latent,42
Teacher,36,6.318145751953125,-7.185113906860352,2,2,True,a01,485,490,umap,strict_raw_latent,42
Teacher,37,6.106138706207275,-7.708520412445068,2,2,True,a01,481,486,umap,strict_raw_latent,42
Teacher,38,10.997640609741211,15.282149314880371,1,1,True,c01,143,148,umap,strict_raw_latent,42
Teacher,39,8.357417106628418,-2.7379181385040283,2,2,True,b01,557,562,umap,strict_raw_latent,42
