method_name,method_slug,roc_view,fpr,tpr
teacher-student(student),teacher_student_student,S0 vs rest,0.00000000,0.00000000
teacher-student(student),teacher_student_student,S0 vs rest,0.00000000,0.01282051
teacher-student(student),teacher_student_student,S0 vs rest,0.00000000,1.00000000
teacher-student(student),teacher_student_student,S0 vs rest,1.00000000,1.00000000
teacher-student(student),teacher_student_student,S1 vs rest,0.00000000,0.00000000
teacher-student(student),teacher_student_student,S1 vs rest,0.00000000,0.01204819
teacher-student(student),teacher_student_student,S1 vs rest,0.00000000,0.78313253
teacher-student(student),teacher_student_student,S1 vs rest,0.00366300,0.78313253
teacher-student(student),teacher_student_student,S1 vs rest,0.00366300,0.84337349
teacher-student(student),teacher_student_student,S1 vs rest,0.00732601,0.84337349
teacher-student(student),teacher_student_student,S1 vs rest,0.00732601,0.86746988
teacher-student(student),teacher_student_student,S1 vs rest,0.01098901,0.86746988
teacher-student(student),teacher_student_student,S1 vs rest,0.01098901,0.91566265
teacher-student(student),teacher_student_student,S1 vs rest,0.01831502,0.91566265
teacher-student(student),teacher_student_student,S1 vs rest,0.01831502,0.95180723
teacher-student(student),teacher_student_student,S1 vs rest,0.02564103,0.95180723
teacher-student(student),teacher_student_student,S1 vs rest,0.02564103,0.97590361
teacher-student(student),teacher_student_student,S1 vs rest,0.04395604,0.97590361
teacher-student(student),teacher_student_student,S1 vs rest,0.04395604,0.98795181
teacher-student(student),teacher_student_student,S1 vs rest,0.06593407,0.98795181
teacher-student(student),teacher_student_student,S1 vs rest,0.06593407,1.00000000
teacher-student(student),teacher_student_student,S1 vs rest,1.00000000,1.00000000
teacher-student(student),teacher_student_student,S2 vs rest,0.00000000,0.00000000
teacher-student(student),teacher_student_student,S2 vs rest,0.00000000,0.00512821
teacher-student(student),teacher_student_student,S2 vs rest,0.00000000,1.00000000
teacher-student(student),teacher_student_student,S2 vs rest,1.00000000,1.00000000
teacher-student(student),teacher_student_student,micro-average,0.00000000,0.00000000
teacher-student(student),teacher_student_student,micro-average,0.00000000,0.00280899
teacher-student(student),teacher_student_student,micro-average,0.00000000,0.90449438
teacher-student(student),teacher_student_student,micro-average,0.00140449,0.90449438
teacher-student(student),teacher_student_student,micro-average,0.00140449,0.94382022
teacher-student(student),teacher_student_student,micro-average,0.00280899,0.94382022
teacher-student(student),teacher_student_student,micro-average,0.00280899,0.94943820
teacher-student(student),teacher_student_student,micro-average,0.00421348,0.94943820
teacher-student(student),teacher_student_student,micro-average,0.00421348,0.97191011
teacher-student(student),teacher_student_student,micro-average,0.00702247,0.97191011
teacher-student(student),teacher_student_student,micro-average,0.00702247,0.98314607
teacher-student(student),teacher_student_student,micro-average,0.00983146,0.98314607
teacher-student(student),teacher_student_student,micro-average,0.00983146,0.99157303
teacher-student(student),teacher_student_student,micro-average,0.01404494,0.99157303
teacher-student(student),teacher_student_student,micro-average,0.01404494,0.99438202
teacher-student(student),teacher_student_student,micro-average,0.01825843,0.99438202
teacher-student(student),teacher_student_student,micro-average,0.01825843,0.99719101
teacher-student(student),teacher_student_student,micro-average,0.02949438,0.99719101
teacher-student(student),teacher_student_student,micro-average,0.02949438,1.00000000
teacher-student(student),teacher_student_student,micro-average,1.00000000,1.00000000
teacher-student(student),teacher_student_student,macro-average,0.00000000,0.92771084
teacher-student(student),teacher_student_student,macro-average,0.00366300,0.94779116
teacher-student(student),teacher_student_student,macro-average,0.00732601,0.95582329
teacher-student(student),teacher_student_student,macro-average,0.01098901,0.97188755
teacher-student(student),teacher_student_student,macro-average,0.01831502,0.98393574
teacher-student(student),teacher_student_student,macro-average,0.02564103,0.99196787
teacher-student(student),teacher_student_student,macro-average,0.04395604,0.99598394
teacher-student(student),teacher_student_student,macro-average,0.06593407,1.00000000
teacher-student(student),teacher_student_student,macro-average,1.00000000,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S0 vs rest,0.00000000,0.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S0 vs rest,0.00000000,0.01282051
teacher(18D upper bound),teacher_18d_upper_bound,S0 vs rest,0.00000000,0.96153846
teacher(18D upper bound),teacher_18d_upper_bound,S0 vs rest,0.00359712,0.96153846
teacher(18D upper bound),teacher_18d_upper_bound,S0 vs rest,0.00359712,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S0 vs rest,1.00000000,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00000000,0.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00000000,0.01204819
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00000000,0.93975904
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00366300,0.93975904
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00366300,0.95180723
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00732601,0.95180723
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.00732601,0.98795181
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.11355311,0.98795181
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,0.11355311,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S1 vs rest,1.00000000,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S2 vs rest,0.00000000,0.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S2 vs rest,0.00000000,0.00512821
teacher(18D upper bound),teacher_18d_upper_bound,S2 vs rest,0.00000000,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,S2 vs rest,1.00000000,1.00000000
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00000000,0.00000000
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00000000,0.00280899
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00000000,0.76966292
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00140449,0.76966292
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00140449,0.83988764
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00280899,0.83988764
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00280899,0.89606742
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00421348,0.89606742
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00421348,0.94382022
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00561798,0.94382022
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00561798,0.94662921
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00702247,0.94662921
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00702247,0.96348315
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00842697,0.96348315
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.00842697,0.97471910
teacher(18D upper bound),teacher_18d_upper_bound,micro-average,0.01123596,0.97471910
